feature,HIGH_VOL_importance
price_zscore_200d,0.14169146
volume_std,0.05623387
vol_60d,0.047119353
vol_trend,0.040058777
mom_3m,0.02765797
z_vol,0.025506621
price_zscore_50d_z,0.024450298
bb_width,0.020991135
rsi_14,0.013900228
atr_14,0.012227947
bb_lower,0.008010971
mom_6m,0.007535445
mom_1m,0.0067454088
bb_middle,0.005480511
vol_20d,0.005302478
bb_upper,0.0040725693
rsi_mean_rev,0.0038747354
macd,0.002433217
price_zscore_50d,0.0022976147
macd_signal,0.0018193702
rsi_mean_rev_z,0.001751842
mean_rev_60d,0.0016750402
alpha_mean_reversion,0.0016742825
macd_hist,0.0016556509
atr_pct,0.0015831807
mom_6m_rank_z,0.0014407763
bb_mean_rev_z,0.0011654623
mom_3m_rank_pct,0.0007099765
mom_12m,0.0005840615
mean_rev_20d,0.00031235706
volume_ratio,0.00030517625
mom_12_1_rank_z,0.0002908866
mom_12_1,0.00024785273
volume_trend,0.00021047077
log_return,0.00019070898
mom_6m_rank,0.00016095089
bb_pct,0.0001469817
gap_pct,8.0089645e-05
mom_1w,7.010394e-05
daily_range,6.1380684e-05
volume_z,5.4920438e-05
mom_1m_rank_pct,0.0
mom_12_1_rank,0.0
mom_3m_rank,0.0
vol_rank,0.0
bb_mean_rev,0.0
price_zscore_20d,0.0
mom_decile,0.0
close_position,0.0
mom_3m_rank_z,0.0
alpha_momentum,0.0
alpha_combined,0.0
