feature,NORMAL_VOL_importance
price_zscore_200d,0.08104849
z_vol,0.0312017
bb_width,0.029368863
vol_trend,0.026376858
vol_60d,0.018665524
bb_middle,0.01744866
volume_std,0.016526872
mom_3m,0.015337998
mom_12m,0.0134836165
mom_6m,0.009094452
bb_lower,0.0084602395
bb_upper,0.006719769
atr_pct,0.00669657
mom_12_1,0.0054558553
vol_20d,0.005171051
macd,0.0034297185
macd_signal,0.0030627383
mom_3m_rank_pct,0.0023922666
mom_1m,0.0023178908
rsi_mean_rev_z,0.0019928
rsi_mean_rev,0.0018180893
atr_14,0.0018169521
volume_ratio,0.0015031775
mom_1m_rank_pct,0.0013932583
alpha_mean_reversion,0.001246981
rsi_14,0.0009238176
bb_mean_rev_z,0.0008938982
mean_rev_60d,0.0007164603
mom_3m_rank_z,0.000608794
mom_1w,0.00058043416
macd_hist,0.00057390716
volume_trend,0.00042658427
alpha_combined,0.00032317324
mean_rev_20d,0.00029009458
mom_6m_rank_z,0.00027509755
log_return,0.00012896933
gap_pct,0.000116292766
mom_12_1_rank_z,0.00011081492
volume_z,0.000101563135
price_zscore_50d,7.967256e-05
price_zscore_20d,6.0855447e-05
price_zscore_50d_z,5.4847504e-05
bb_pct,5.355889e-05
daily_range,3.6465735e-05
vol_rank,0.0
bb_mean_rev,0.0
mom_decile,0.0
mom_3m_rank,0.0
mom_6m_rank,0.0
mom_12_1_rank,0.0
close_position,0.0
alpha_momentum,0.0
