feature,mean_abs_shap
price_zscore_200d,0.07624274
vol_60d,0.0349271
z_vol,0.028339349
volume_std,0.027674654
bb_upper,0.024049789
vol_trend,0.023676017
mom_12m,0.02177991
bb_middle,0.018741626
bb_width,0.017632598
mom_3m,0.016657459
bb_lower,0.012981526
macd_signal,0.01250463
mom_12_1,0.010004598
macd,0.0086330185
price_zscore_50d_z,0.008294697
vol_20d,0.008064334
mom_6m,0.00792435
atr_14,0.007290072
rsi_14,0.0050140885
atr_pct,0.0034764195
mom_1m,0.0032074826
rsi_mean_rev,0.0018976049
rsi_mean_rev_z,0.0013104838
mean_rev_60d,0.0012483926
mom_3m_rank_pct,0.0011192503
alpha_mean_reversion,0.0009737525
price_zscore_50d,0.00087933626
macd_hist,0.0007997723
bb_mean_rev_z,0.00068645197
mom_6m_rank_z,0.000631451
volume_ratio,0.00062395
volume_trend,0.00054276723
mom_1m_rank_pct,0.00046441946
mom_3m_rank_z,0.0002889426
mean_rev_20d,0.0002590034
mom_1w,0.00021684573
mom_12_1_rank_z,0.00017423602
alpha_combined,0.00012714388
bb_pct,0.000110341476
log_return,0.000106559324
gap_pct,9.297191e-05
daily_range,8.2046296e-05
volume_z,7.405817e-05
bb_mean_rev,6.781194e-05
close_position,5.893924e-05
mom_6m_rank,5.3650296e-05
price_zscore_20d,2.028515e-05
mom_3m_rank,0.0
vol_rank,0.0
mom_decile,0.0
mom_12_1_rank,0.0
alpha_momentum,0.0
